No_of_Vehicles,weight_1/million,VMT/1000,VMT/10000,GAL,CO2_1,weight_2/millions,CO2_2
1740,5.956726170827735,9076,9076,363.04,41888.20356363992,2.382690468331094,16755.28142545597
186,0.6144550790233074,1173,1173,46.92,558.4415998015744,0.245782031609323,223.37663992062977
2490,8.504154801273438,9211,9211,368.44,60691.45529878557,3.4016619205093757,24276.58211951423
859,2.9299529227174483,5158,5158,206.32,11709.317771481788,1.1719811690869795,4683.727108592716
266,0.866499977919271,2380,2380,95.2,1597.8467552826057,0.34659999116770845,639.1387021130425
424,1.4311547757111982,2032,2032,81.28,2253.200919489146,0.5724619102844793,901.2803677956585
568,1.7402254613587242,3721,3721,148.84,5017.123604041411,0.6960901845434897,2006.849441616565
325,1.112280067982943,2216,2216,88.64,1909.7368262277764,0.44491202719317724,763.8947304911106
202,0.6290478878555991,1377,1377,55.08,671.1309399339835,0.25161915514223965,268.4523759735934
379,1.2677393712950524,2115,2115,84.6,2077.447043219945,0.507095748518021,830.978817287978
406,1.26706486577487,2030,2030,81.2,1992.8953717448098,0.506825946309948,797.1581486979239
158,0.6407512922717448,1549,1549,61.96,769.007402839577,0.25630051690869793,307.60296113583087
240,0.7420976746071617,1576,1576,63.04,906.1641905781512,0.2968390698428647,362.4656762312605
1889,6.147139720509376,7740,7740,309.6,36864.101841188145,2.4588558882037503,14745.640736475258
4184,14.347005477621355,21266,21266,850.64,236394.12864380179,5.738802191048542,94557.65145752073
200,0.6853638768152346,1644,1644,65.76,872.9967678075936,0.27414555072609387,349.19870712303754
196,0.7241768768152346,1197,1197,47.88,671.6274162552633,0.28967075072609383,268.6509665021053
259,0.8501363823354168,1226,1226,49.04,807.5486302350477,0.34005455293416675,323.01945209401913
284,0.8442294834394533,2808,2808,112.32,1836.7380825830387,0.3376917933757813,734.6952330332155
303,0.9105663823354168,1966,1966,78.64,1387.0264337438236,0.3642265529341667,554.8105734975294
36,0.10379449447981774,300,300,12.0,24.12599229688884,0.0415177977919271,9.650396918755536
311,1.0989996746071617,1847,1847,73.88,1572.7296387447566,0.4395998698428647,629.0918554979027
487,1.5888076525264327,3184,3184,127.36,3919.530010661097,0.6355230610105731,1567.8120042644387
5337,18.653360701910156,13393,13393,535.72,193563.991515553,7.461344280764063,77425.5966062212
153,0.46017148343945324,825,825,33.0,294.14621392933293,0.1840685933757813,117.65848557173317
323,0.9618701801273438,1911,1911,76.44,1424.1861567402545,0.38474807205093753,569.674462696102
345,1.2037137757111982,2194,2194,87.76,2046.206528925754,0.4814855102844793,818.4826115703016
3689,12.264723036602605,16847,16847,673.88,160092.11171537463,4.905889214641043,64036.84468614987
243,0.8622223823354167,1992,1992,79.68,1330.7554044522942,0.3448889529341667,532.3021617809177
11629,40.29114959324727,25850,25850,1034.0,806974.5129203205,16.11645983729891,322789.80516812816
2882,10.141300350955078,8860,8860,354.4,69617.26847561116,4.056520140382031,27846.907390244458
1072,3.4651597205093756,4048,4048,161.92,10868.09368187229,1.3860638882037504,4347.237472748916
997,3.264958821613412,5782,5782,231.28,14626.668129209465,1.305983528645365,5850.667251683787
2358,8.23621432887435,12136,12136,485.44,77444.89930937577,3.2944857315497402,30977.95972375031
614,1.9794696746071616,3912,3912,156.48,5999.80742240058,0.7917878698428646,2399.922968960232
2140,7.081695957579298,11890,11890,475.6,65239.21755211672,2.8326783830317197,26095.68702084669
158,0.5079170900636719,764,764,30.56,300.66009929533845,0.20316683602546878,120.26403971813538
511,1.6452935624627607,3030,3030,121.2,3862.563560154326,0.6581174249851043,1545.0254240617303
296,1.0820626856475262,1676,1676,67.04,1405.1285149753428,0.4328250742590105,562.0514059901373
852,2.7607310679829427,3396,3396,135.84,7264.093009282934,1.104292427193177,2905.6372037131737
8006,28.59766547180326,20289,20289,811.56,449552.9333300462,11.439066188721306,179821.1733320185
849,2.7641526414860684,3596,3596,143.84,7701.429017977767,1.1056610565944274,3080.571607191107
2719,9.440458192908464,5856,5856,234.24,42833.51879806024,3.7761832771633856,17133.407519224096
2145,7.43957059732461,7392,7392,295.68,42608.81337678215,2.9758282389298443,17043.52535071286
1869,5.940990878555991,7335,7335,293.4,33763.58983939251,2.3763963514223962,13505.435935757001
968,3.232685135965886,3142,3142,125.68,7869.718520994291,1.2930740543863546,3147.8874083977166
175,0.5469697867515626,919,919,36.76,389.4650233223268,0.21878791470062506,155.7860093289307
108,0.3646301911677084,501,501,20.04,141.54025153048698,0.14585207646708337,56.61610061219479
130,0.38475649447981775,1335,1335,53.4,397.9759581171553,0.1539025977919271,159.19038324686213
336,1.0932308768152346,2655,2655,106.2,2248.8786773113584,0.43729235072609385,899.5514709245434
382,1.3003683712950524,3315,3315,132.6,3339.946747673233,0.520147348518021,1335.9786990692933
11327,38.360011315497395,36344,36344,1453.76,1080192.263468839,15.344004526198958,432076.9053875356
456,1.4818359668789065,2500,2500,100.0,2870.3162678444423,0.5927343867515626,1148.1265071377768
207,0.6761920790233075,1543,1543,61.72,808.3987200224601,0.270476831609323,323.35948800898404
462,1.569928270191016,1967,1967,78.68,2392.6202935044466,0.6279713080764064,957.0481174017788
1065,3.413710529341667,5871,5871,234.84,15528.459872364265,1.3654842117366668,6211.383948945707
455,1.4772318326537766,2287,2287,91.48,2617.6069451511144,0.5908927330615107,1047.0427780604457
334,1.1054323823354166,1486,1486,59.44,1272.7426686125525,0.4421729529341667,509.097067445021
511,1.6786415735031253,2128,2128,85.12,2767.7012531676714,0.6714566294012502,1107.0805012670687
7424,25.501084499702085,21744,21744,869.76,429623.1764389074,10.200433799880834,171849.27057556296
188,0.5686143823354167,920,920,36.8,405.31742955880236,0.2274457529341667,162.12697182352096
124,0.40483819116770836,567,567,22.68,177.85011350299183,0.16193527646708336,71.14004540119674
